dataset,circuit,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
qmap154,radd_250,True,M2,-17.26264553985141,3.183671861512226e-08,-16.92853388945302,4.4466315500556245e-08,0.33411165039838764,1.3966990768776968,3/3
qmap154,rd32-v0_66,True,M1,-0.12654221380639363,0.8811369526136851,-0.1288114042235193,0.8791397519559385,-0.0022691904171256716,0.9977333822491244,3/3
qmap154,rd32-v1_68,True,M1,-0.1269464667807012,0.8807808223680241,-0.12921559668283367,0.8787844821010494,-0.0022691299021324607,0.9977334426269552,3/3
qmap154,rd32_270,True,M1,-0.37862589513934025,0.6848017524158954,-0.38138453310085485,0.6829152356103855,-0.0027586379615145984,0.9972451635836876,3/3
qmap154,rd53_130,True,M1,-4.8991001230133975,0.007453287095605055,-4.948557765339691,0.007093632237355454,-0.049457642326293794,0.9517454710067887,3/3
qmap154,rd53_131,True,M1,-2.173888741364781,0.11373447188566607,-2.2095501479990007,0.10975000867330749,-0.035661406634219794,0.9649669695889208,3/3
qmap154,rd53_133,True,M1,-2.7377746683683317,0.06471419732667412,-2.7722820963341808,0.06251916705750804,-0.03450742796584905,0.966081163641949,3/3
qmap154,rd53_135,True,M1,-1.4429988329212626,0.23621831620082703,-1.4719060518108356,0.2294876526975858,-0.028907218889572928,0.9715065977461333,3/3
qmap154,rd53_138,True,M1,-0.6531841239417788,0.5203861619163942,-0.6499249552436968,0.5220849550291556,0.003259168698082071,1.0032644855630009,3/3
qmap154,rd53_251,True,M1,-6.224727127862335,0.0019798639913699637,-6.272228399582201,0.0018880166365187693,-0.04750127171986662,0.9536092604080137,3/3
qmap154,rd53_311,True,M2,-1.4675656147302945,0.23048589425001717,-1.4794568281465788,0.22776136835561964,-0.011891213416284296,0.9881792076549285,3/3
qmap154,rd73_140,True,M1,-1.1578653344344856,0.31415608379315346,-1.1669912230312656,0.31130217241566016,-0.009125888596779985,0.9909156259428917,3/3
qmap154,rd73_252,True,M1,-27.342132464045225,1.3349430768551419e-12,-27.022487181834656,1.8377351819540632e-12,0.3196452822105691,1.3766393592477357,3/3
qmap154,rd84_142,True,M2,-1.8483933036058264,0.15749000176228498,-1.8264773271198391,0.16097964877368956,0.02191597648598731,1.0221578955638837,3/3
qmap154,rd84_253,False,,,,-80.96571003630388,6.87129996302644e-36,,,3/3
qmap154,root_255,False,,,,,,,,3/3
qmap154,sao2_257,False,,,,,,,,3/3
qmap154,sf_274,True,M2,-3.5579417168150664,0.02849742015120758,-3.6346135388690244,0.02639413272305033,-0.07667182205395795,0.9261937601018903,3/3
qmap154,sf_276,True,M2,-3.563735381017709,0.028332793025848086,-3.6366080864510937,0.02634154083539311,-0.07287270543338487,0.929719170692478,3/3
qmap154,sqn_258,True,M1,-56.52739619130158,2.8213941255446305e-25,-54.48912460505736,2.1660768471897373e-24,2.038271586244214,7.677328125050968,3/3
qmap154,sqrt8_260,True,M1,-15.793046965945798,1.3840980291703435e-07,-15.588628303590324,1.698027608819522e-07,0.204418662355474,1.2268116658162964,3/3
qmap154,squar5_261,True,M1,-10.386290077183777,3.085258319188213e-05,-10.29777153893224,3.3708128802624e-05,0.08851853825153633,1.0925545064730013,3/3
qmap154,square_root_7,True,M2,-40.72511624609834,2.0573431714460183e-18,-39.12818769405228,1.0158837129486198e-17,1.5969285520460588,4.937842782128558,3/3
qmap154,sym10_262,False,,,,,,,,3/3
qmap154,sym6_145,True,M1,-18.81857818759953,6.717309144022302e-09,-18.919073958602965,6.075060076681818e-09,-0.10049577100343399,0.9043889370623924,3/3
qmap154,sym6_316,True,M2,-1.4967026241515085,0.22386711849617555,-1.4718612647368479,0.22949793100823246,0.02484135941466059,1.0251524768348377,3/3
qmap154,sym9_146,True,M1,-1.7140184820912978,0.18014044504276833,-1.7044457192020148,0.18187316704649908,0.009572762889282993,1.009618728338988,3/3
qmap154,sym9_148,False,,,,,,,,3/3
qmap154,sym9_193,False,,,,,,,,3/3
qmap154,sys6-v0_111,True,M2,-1.091041900033039,0.33586637215833154,-1.089775896756073,0.33629184935704226,0.0012660032769660212,1.0012668049974058,3/3
qmap154,urf1_149,False,,,,,,,,3/3
qmap154,urf1_278,False,,,,,,,,3/3
qmap154,urf2_152,False,,,,,,,,3/3
qmap154,urf2_277,False,,,,,,,,3/3
qmap154,urf3_155,False,,,,,,,,3/3
qmap154,urf3_279,False,,,,,,,,3/3
qmap154,urf4_187,False,,,,,,,,0/3
qmap154,urf5_158,False,,,,,,,,3/3
qmap154,urf5_280,False,,,,,,,,3/3
qmap154,urf6_160,False,,,,,,,,3/3
qmap154,wim_266,True,M1,-4.915783201136742,0.007329974799113619,-4.9149307963457805,0.007336225568464403,0.0008524047909617138,1.000852768191173,3/3
qmap154,xor5_254,True,M1,-0.055260671302234214,0.946238458591237,-0.05090542252444232,0.9503685497403696,0.0043552487777918925,1.004364746657287,3/3
qmap154,z4_268,False,,,,-15.754495166214438,1.438499396886584e-07,,,3/3
