dataset,circuit,comparison,in_scope,paired_valid,current_variant,reference_variant,current_fidelity,reference_fidelity,delta_logF,fidelity_ratio,current_valid_over_N,reference_valid_over_N,ga_applicable_boundaries,current_transfers,reference_transfers,delta_transfers,current_idle_exposures,reference_idle_exposures,delta_idle_exposures,current_log_coherence_linear,reference_log_coherence_linear,delta_log_coherence_linear,current_move_batches,reference_move_batches,delta_move_batches,current_move_time_us,reference_move_time_us,delta_move_time_us,current_algorithm_time_s,reference_algorithm_time_s,delta_algorithm_time_s
qmap154,rd53_130,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.007093632237355454,0.005782436544654155,0.20437237226633265,1.226754877909295,3/3,3/3,152,1308.0,1800.0,-492.0,294.0,1.0,293.0,-0.4060119372390183,-0.8527699974550358,0.4467580602160175,588.0,816.0,-228.0,59568.207947864714,140871.33802003696,-81303.13007217224,53.854810708,24.687963875,29.166846833
qmap154,rd53_130,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.007093632237355454,0.007093451479980797,2.5481963491280624e-05,1.0000254822881594,3/3,1/1,152,1308.0,1302.0,6.0,294.0,294.0,0.0,-0.4060119372390183,-0.4132551193680803,0.007243182129061998,588.0,590.0,-2.0,59568.207947864714,60779.01350269991,-1210.8055548351986,53.854810708,52.0819565,1.7728542080000054
qmap154,rd53_251,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.0018880166365187693,0.0012748567788943791,0.3926930373779829,1.4809637190431333,3/3,3/3,190,1588.0,2230.0,-642.0,377.0,11.0,366.0,-0.5982330197078171,-1.2647505027565342,0.6665174830487172,732.0,1014.0,-282.0,76301.71304054887,178255.34135432736,-101953.62831377849,59.271098334,29.677754417,29.593343917000002
qmap154,rd53_251,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.0018880166365187693,0.0018713451704685728,0.008869364639682686,1.0089088139982332,3/3,1/1,190,1588.0,1598.0,-10.0,377.0,377.0,0.0,-0.5982330197078171,-0.5970973810116644,-0.00113563869615263,732.0,735.0,-3.0,76301.71304054887,76426.35164077078,-124.63860022190784,59.271098334,56.616347417,2.654750917000001
qmap154,rd73_252,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,1.8377351819540632e-12,3.2421130835853537e-13,1.7348937235729807,5.668325362426186,3/3,3/3,1962,6748.0,9126.0,-2378.0,1520.0,248.0,1272.0,-3.5513645047595763,-6.08974931346176,2.5383848087021836,3042.0,4198.0,-1156.0,307275.6180801461,515183.9641798694,-207908.3460997233,45.774232334,45.856238875,-0.08200654100000548
qmap154,rd73_252,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,1.8377351819540632e-12,1.6936617618870906e-12,0.0816410261079028,1.085066229461569,3/3,1/1,1962,6748.0,6784.0,-36.0,1520.0,1521.0,-1.0,-3.5513645047595763,-3.59219440555587,0.04082990079629356,3042.0,3053.0,-11.0,307275.6180801461,311016.8723481247,-3741.2542679785984,45.774232334,34.014013458,11.760218875999996
qmap154,root_255,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,873,22610.0,29666.0,,4987.0,682.0,,,,,9873.0,12810.0,,1017866.0674881164,1308990.8321100737,,33.053261834,32.992674458,
qmap154,root_255,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,873,22610.0,22700.0,,4987.0,4994.0,,,,,9873.0,9964.0,,1017866.0674881164,1030134.7698757619,,33.053261834,29.748799666,
qmap154,sf_276,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.02634154083539311,0.02512248973579409,0.047383742156411834,1.0485242948616726,3/3,3/3,102,936.0,1318.0,-382.0,228.0,0.0,228.0,-0.2569412585226253,-0.4892923534496234,0.23235109492699813,440.0,610.0,-170.0,46118.438520084936,94433.4164550156,-48314.97793493066,34.608775125,16.553694167,18.055080958
qmap154,sf_276,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.02634154083539311,0.0264019176823355,-0.0022894544655129856,0.997713164336438,3/3,1/1,102,936.0,932.0,4.0,228.0,228.0,0.0,-0.2569412585226253,-0.2587963579995845,0.001855099476959221,440.0,438.0,2.0,46118.438520084936,46469.05204671195,-350.6135266270139,34.608775125,34.450716334,0.15805879100000197
qmap154,sqrt8_260,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,1.698027608819522e-07,5.89657626908289e-08,1.0576805512615142,2.879683957829347,3/3,3/3,1120,3852.0,5188.0,-1336.0,853.0,156.0,697.0,-2.2753705548665564,-3.7181779120556993,1.4428073571891429,1738.0,2393.0,-655.0,176545.93349037095,301262.3528963929,-124716.41940602197,28.264102459,29.088614917,-0.824512458000001
