dataset,circuit,canonical_sha256,independent_analysis_unit,canonical_cluster_file_N,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
qmap154,ground_state_estimation_10,1339e2c7e5bc81127fa6ab1721b679c0a6f525f4446d354f7ed78b8331f01fac,canonical_sha256_cluster_mean,1,True,M1,-0.034013351494323545,0.9665585995497005,-0.029263190387517374,0.9711608306325407,0.004750161106806171,1.0047614610071074,3/3
qmap154,ham15_107,569391ab4b0c2412a57e1200e808a8f428979e08eaad630e86b9747cd27e1c16,canonical_sha256_cluster_mean,1,True,M2,-53.77654918558452,4.417142731734287e-24,-50.627555111657244,1.029750906054468e-22,3.148994073927277,23.312602027921354,3/3
qmap154,ham3_102,58301ee4a0a5e02f220e6d4a288841abc82b921ffdda76a4f40848b79ddebfd9,canonical_sha256_cluster_mean,1,True,M1,-0.09311066648888763,0.9110926672902858,-0.093252844259662,0.910963139374095,-0.00014217777077436822,0.9998578323360059,3/3
qmap154,ham7_104,923c1c3fb38d5e8209a2560552ac8abb6166dacce97b433ca1b7f99201f12f48,canonical_sha256_cluster_mean,1,True,M2,-1.6000242171469847,0.20189162869620608,-1.6159935315824123,0.19869316440877638,-0.015969314435427595,0.984157519021046,3/3
qmap154,hwb4_49,547887c699e18e58deacddbf6fc41fe56a076cdfbc42dbf128fa464548b0253e,canonical_sha256_cluster_mean,1,True,M1,-1.0848932775440452,0.33793784952754075,-1.1085864614614598,0.3300251347670082,-0.023693183917414595,0.9765852958714301,3/3
qmap154,hwb5_53,9e3f053dbede7457444bf109616af357b3ab6d81a6a1537fd8fe7bc8559feb88,canonical_sha256_cluster_mean,1,True,M1,-6.3868344488741755,0.0016835772247393347,-6.488704272765176,0.0015205179086786572,-0.10186982389100052,0.9031471121938445,3/3
qmap154,hwb6_56,61bf78e6eb8fe2cb88b844a4608037f20080a920d6382321fb11614e9e3bb9ff,canonical_sha256_cluster_mean,1,True,M1,-33.14243697014333,4.0403827386176245e-15,-33.32976464110123,3.350172221134547e-15,-0.18732767095789882,0.8291719962848803,3/3
qmap154,hwb7_59,950a93cdf9ae6380467be0579e9ab37db18a441bb35be76d383f287ce0ec41b0,canonical_sha256_cluster_mean,1,False,,,,,,,,3/3
qmap154,hwb8_113,098a7e756517835d61b73098b65dcade06705dc6384a960ba0c8f6079b350618,canonical_sha256_cluster_mean,1,False,,,,,,,,3/3
qmap154,hwb9_119,2e9923dba4ff19f3f08945bfa534866386905120e3c1b07e74a1e22ae55d9865,canonical_sha256_cluster_mean,1,False,,,,,,,,3/3
qmap154,inc_237,58d3414c21ba4637af265a4f3068c543e65f5215444e5deb86f582d6bf36ae9a,canonical_sha256_cluster_mean,1,True,M1,-70.42874193098781,2.5893217059754297e-31,-62.91790414829618,4.732617610881116e-28,7.510837782691631,1827.7441539842498,3/3
qmap154,ising_model_10,336240af3b70f2a7d564efaceb5dd66d45d448242fbce0e46d2e9bcb6c0dd8ea,canonical_sha256_cluster_mean,1,True,M2,-0.7857119959465172,0.4557950619916643,-0.7134372938505473,0.489957172944887,0.07227470209596987,1.0749505946903994,3/3
qmap154,ising_model_13,e86d670b4294ec453133e6dd18dfac6f90a9459e0c10d6fd7754d621e9f262fe,canonical_sha256_cluster_mean,1,True,M1,-1.0695579424992159,0.3431601804260797,-0.9785525591460988,0.375854732812889,0.09100538335311703,1.0952749014941496,3/3
